"nom";"categorie";"equipement";"statut";"lieu";"date";"annee";"lat";"lon";"image";"page"
"Graine de Cosmos";"Composteur Pédagogique en établissement scolaire";"Silos 2x1m3";"En service";"Nantes Sud";"";"2016";"47.1926226";"-1.5342211";"http://www.compostri.fr/wp-content/uploads/2017/09/20170906_154122-1-e1504794710150-150x150.jpg";"http://www.compostri.fr/compost/graine-de-cosmos/"
"Les Lacs";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Breil - Barberie";"16-09-2017";"2017";"47.241934";"-1.576426";"http://www.compostri.fr/wp-content/uploads/2017/08/20170822_171433-150x150.jpg";"http://www.compostri.fr/compost/residence-les-lacs/"
"Galilée";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"06-07-2017";"2017";"47.205921";"-1.5862689";"http://www.compostri.fr/wp-content/uploads/2017/07/Galilee-150x150.jpg";"http://www.compostri.fr/compost/galilee/"
"Les Aqueducs / Aux Carrières de Villeneuve";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Dervallières - Zola";"02-06-2017";"2017";"47.2154726";"-1.5943566";"http://www.compostri.fr/wp-content/uploads/2017/06/Composteur-les-6-Aqueducs-150x150.jpg";"http://www.compostri.fr/compost/les-aqueducs/"
"Square Prinquiau";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Dervallières - Zola";"16-05-2017";"2017";"47.2121624";"-1.5891491";"http://www.compostri.fr/wp-content/uploads/2017/06/Square-prinquiau-150x150.jpg";"http://www.compostri.fr/compost/square-prinquiau/"
"Le trait d&rsquo;oignon";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Nantes Nord";"13-05-2017";"2017";"47.269760";"-1.521857";"http://www.compostri.fr/wp-content/uploads/2017/05/TraitDoignon-150x150.jpg";"http://www.compostri.fr/compost/le-trait-doignon/"
"Parc de la Moutonnerie";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Malakoff - Saint-Donatien";"04-04-2017";"2017";"47.2206403";"-1.5335146";"http://www.compostri.fr/wp-content/uploads/2017/04/Moutonnerie-2017-150x150.jpg";"http://www.compostri.fr/compost/parc-de-la-moutonnerie/"
"Le Petit Bel Air";"Composteur en résidence - copropriété, Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Doulon - Bottière";"23-03-2017";"2017";"47.2393108";"-1.5267113";"http://www.compostri.fr/wp-content/uploads/2017/04/Petit-Bel-Air-2017-150x150.jpg";"http://www.compostri.fr/compost/le-petit-bel-air/"
"Les Tilleuls";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Orvault";"06-05-2017";"2017";"47.249754";"-1.605685";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/les-tilleuls/"
"Trois Moulins";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Rezé";"11-04-2017";"2017";"47.1787755";"-1.5484912";"http://www.compostri.fr/wp-content/uploads/2017/04/20170615_191815-150x150.jpg";"http://www.compostri.fr/compost/trois-moulins/"
"Amazonia Garden";"Composteur ouvert au quartier, Composteur sur des jardins collectifs";"Silos 2x1m3";"En service";"Malakoff - Saint-Donatien";"11-05-2017";"2017";"47.2144382";"-1.5329548";"http://www.compostri.fr/wp-content/uploads/2017/04/Jardinamazonia16734-150x150.jpg";"http://www.compostri.fr/compost/amazonia-garden/"
"Colombier";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Dervallières - Zola";"21-04-2017";"2017";"47.221251";"-1.5948572";"http://www.compostri.fr/wp-content/uploads/2017/03/Colombier-150x150.jpg";"http://www.compostri.fr/compost/colombier/"
"Conciergerie";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Île de Nantes";"";"2016";"47.206420";"-1.562956";"http://www.compostri.fr/wp-content/uploads/2014/11/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/conciergerie/"
"Foyer ERDAM &#8211; Perrières";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"La Chapelle-sur-Erdre";"05-10-2016";"2016";"47.309189";"-1.550442";"http://www.compostri.fr/wp-content/uploads/2016/07/Foyer-Erdam-Pierrieres-150x150.jpg";"http://www.compostri.fr/compost/foyer-erdam-perrieres/"
"Saint Christophe";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Nort sur Erdre";"02-04-2016";"2014";"47.440246";" -1.497247";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/saint-christophe/"
"Le Clos du Perray";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Grandchamp des Fontaines";"31-10-2015";"2015";"47.363990";"-1.601683";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/le-clos-du-perray/"
"Les Côteaux";"Composteur en résidence - copropriété";"Silos 2x2.5m3";"En service";"Saint-Herblain";"01-01-2014";"2014";"47.205092";"-1.616213";"http://www.compostri.fr/wp-content/uploads/2015/03/20141025_103612-150x150.jpg";"http://www.compostri.fr/compost/les-coteaux/"
"Ingénieurs/La Jonelière";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Nantes Nord";"21-01-2017";"2016";"47.252164";"-1.545310";"http://www.compostri.fr/wp-content/uploads/2016/10/2017-01-Composteur-Joneliere-et-reunion-27-150x150.jpg";"http://www.compostri.fr/compost/ingenieurs/"
"Ecole Lucie Aubrac";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"";"2016";"47.208352";"-1.600441";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/ecole-lucie-aubrac/"
"Ecole Port Boyer";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes Erdre";"";"2016";"47.239860";"-1.540975";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/ecole-port-boyer/"
"Ecole élémentaire Jean Zay";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"";"2015";"47.208847";"-1.607363";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-jean-zay/"
"Crèche de Bellevue";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"";"2015";"47.205596";"-1.607506";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/creche-de-bellevue/"
"Bagatelle";"Composteur ouvert au quartier";"Pavillon 5 m3";"En service";"Saint-Herblain";"24-09-2016";"2016";"47.244386";"-1.617706";"http://www.compostri.fr/wp-content/uploads/2016/09/Bagatelle-150x150.jpg";"http://www.compostri.fr/compost/bagatelle/"
"Val de Chézine";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Saint-Herblain";"17-09-2016";"2016";"47.234700";"-1.600595";"http://www.compostri.fr/wp-content/uploads/2016/07/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/val-de-chezine/"
"La Cruère";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"30-01-2016";"2016";"47.202082";"-1.604951";"http://www.compostri.fr/wp-content/uploads/2016/07/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/cruere/"
"Val Joli";"Composteur en résidence - copropriété";"Pavillon 5 m3";"En service";"Saint-Sébastien-sur-Loire";"28-07-2016";"2012";"47.1978782";"-1.5302229000000125";"http://www.compostri.fr/wp-content/uploads/2016/07/IMG_0913-150x150.jpg";"http://www.compostri.fr/compost/val-joli/"
"Jardins du Douet";"Composteur sur des jardins collectifs";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"19-08-2016";"2014";"47.191035";"-1.521222";"http://www.compostri.fr/wp-content/uploads/2015/12/jardins-du-douet-150x150.jpg";"http://www.compostri.fr/compost/jardins-du-douet/"
"Venelle Lamour &#8211; Les Forges";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Rezé";"09-11-2013";"2013";"47.189175";"-1.548478";"http://www.compostri.fr/wp-content/uploads/2015/01/Venelles-Lamour-Les-Forges-compostage-1-150x150.jpg";"http://www.compostri.fr/compost/venelles-les-forges-rue-henri-lamour/"
"Ça pousse en Amont &#8211; Prairie d&rsquo;Amont";"Composteur ouvert au quartier, Composteur sur des jardins collectifs";"Silos 2x2.5m3";"En service";"Île de Nantes";"15-04-2015";"2015";"47.2099443";"-1.5246918000000278";"http://www.compostri.fr/wp-content/uploads/2015/05/20150411_151231-150x150.jpg";"http://www.compostri.fr/compost/ca-pousse-en-amont/"
"Haute Île";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Rezé";"";"2011";"47.196625";"-1.554385";"http://www.compostri.fr/wp-content/uploads/2015/01/Haute-Ile-inauguration-6-150x150.jpg";"http://www.compostri.fr/compost/haute-ile/"
"Trentemoult";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Rezé";"01-01-2010";"2010";"47.19479159999999";"-1.5783106999999743";"http://www.compostri.fr/wp-content/uploads/2015/01/20150530_113432-e1456147063299-150x150.jpg";"http://www.compostri.fr/compost/trentemoult/"
"FJT Embarcadère";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Nantes centre";"24-06-2016";"2016";"47.214237";"-1.568532";"http://www.compostri.fr/wp-content/uploads/2016/03/Le-33-2-150x150.jpg";"http://www.compostri.fr/compost/fjt-embarcadere/"
"Les Nouelles";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Saint-Sébastien-sur-Loire";"07-12-2016";"2011";"47.19607800000001";"-1.5227311999999529";"http://www.compostri.fr/wp-content/uploads/2015/01/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/les-nouelles/"
"Bois de Chézine";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Saint-Herblain";"18-03-2016";"2016";"47.230758";"-1.594751";"http://www.compostri.fr/wp-content/uploads/2016/03/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/la-chezine/"
"60B";"Composteur ouvert au quartier";"Pavillon 5 m3";"En service";"Doulon - Bottière";"23-06-2016";"2016";"47.238935";"-1.5197619999999998";"http://www.compostri.fr/wp-content/uploads/2016/07/20160623_173358-150x150.jpg";"http://www.compostri.fr/compost/60b/"
"La Grande Noue";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Doulon - Bottière";"07-07-2016";"2016";"47.236173";"-1.520948";"http://www.compostri.fr/wp-content/uploads/2016/07/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/la-grande-noue/"
"AMAP &#8211; Ecole Alphonse Braud";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"24-06-2016";"2011";"47.202296";"-1.586049";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-alphonse-braud/"
"Square Washington";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Breil - Barberie";"14-06-2016";"2016";"47.233325";"-1.573991";"http://www.compostri.fr/wp-content/uploads/2016/06/Square-Washington-150x150.jpg";"http://www.compostri.fr/compost/square-washington/"
"Square Jean-Baptiste Terrien";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Rezé";"25-06-2016";"2016";"47.18439";"-1.550647";"http://www.compostri.fr/wp-content/uploads/2016/06/JB-Terrien-150x150.jpg";"http://www.compostri.fr/compost/square-jean-baptiste-terrien/"
"Place Emile Fritsch";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Hauts-Pavés - Saint-Félix";"22-09-2016";"2016";"47.228768";"-1.566054";"http://www.compostri.fr/wp-content/uploads/vignette-compostage-150x150.jpg";"http://www.compostri.fr/compost/place-emile-fritch/"
"CSC Allée Verte";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Saint-Sébastien-sur-Loire";"27-04-2016";"2016";"47.195262";"-1.490196";"http://www.compostri.fr/wp-content/uploads/2016/03/CSC-Allée-verte-150x150.jpg";"http://www.compostri.fr/compost/csc-allee-verte/"
"Square Flaubert";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Rezé";"12-03-2016";"2016";"47.184245";"-1.557209";"http://www.compostri.fr/wp-content/uploads/2014/11/square-flaubert-150x150.jpg";"http://www.compostri.fr/compost/square-flaubert/"
"Pressoir &#8211; Ecole de Saint Aignan de Grandlieu";"Composteur ouvert au quartier, Composteur Pédagogique en établissement scolaire";"Pavillon 5 m3";"En service";"Saint-Aignan-de-Grand-Lieu";"00-00-2011";"2011";"47.121276";"-1.637503";"http://www.compostri.fr/wp-content/uploads/2016/01/Ecole-de-Saint-Aignan-Visite-élus-sarthe-150x150.jpeg";"http://www.compostri.fr/compost/ecole-de-saint-aignan-de-grandlieu/"
"Maison de Coluche";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Doulon - Bottière";"";"2015";"47.230049";"-1.504224";"http://www.compostri.fr/wp-content/uploads/2016/01/20151212_114123-150x150.jpg";"http://www.compostri.fr/compost/maison-de-coluche/"
"Canopia";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Doulon - Bottière";"25-06-2016";"2015";"47.243183";"-1.517386";"http://www.compostri.fr/wp-content/uploads/2015/01/15-Document-1-page001-150x150.jpeg";"http://www.compostri.fr/compost/canopia/"
"Camille Guérin / Coudray";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Malakoff - Saint-Donatien";"04-12-2015";"2015";"47.230617";"-1.543575";"http://www.compostri.fr/wp-content/uploads/2015/12/20151205_121605-150x150.jpg";"http://www.compostri.fr/compost/camille-guerin/"
"Association la Clé des Champs";"Composteur sur des jardins collectifs";"Pavillon 1,5 m3";"En service";"Bouguenais";"";"2013";"47.168376";"-1.598071";"http://www.compostri.fr/wp-content/uploads/2015/12/clé-des-champs-150x150.jpg";"http://www.compostri.fr/compost/association-la-cle-des-champs/"
"FJT Port-Beaulieu &#8211; Jard&rsquo;îlien";"Composteur ouvert au quartier";"Pavillon 1,5 m3";"En service";"Île de Nantes";"19-08-2016";"2015";"47.206184";"-1.542426";"http://www.compostri.fr/wp-content/uploads/2015/07/FJT-portbeaulieu2-150x150.jpg";"http://www.compostri.fr/compost/fjt-port-beaulieu-jardilien/"
"Ecole des Réformes";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"";"2015";"47.199468";"-1.591116";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-des-reformes/"
"Square du Lait de Mai";"Composteur sur des jardins collectifs";"Pavillon 1,5 m3";"En service";"Nantes centre";"";"2015";"47.211964";"-1.548060";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/square-du-lait-de-mai/"
"Forges on t&rsquo;aime";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Doulon - Bottière";"01-01-2015";"2015";"47.227054";"-1.518301";"http://www.compostri.fr/wp-content/uploads/2015/12/forges-on-taime-e1449226667643-150x150.jpg";"http://www.compostri.fr/compost/forges-on-taime/"
"Blordière";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Rezé";"01-01-2015";"2015";"47.180299";"-1.533312";"http://www.compostri.fr/wp-content/uploads/2015/12/20151114_112415-150x150.jpg";"http://www.compostri.fr/compost/blordiere/"
"Koufra";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Nantes Erdre";"14-11-2015";"2015";"47.243691";"-1.528226";"http://www.compostri.fr/wp-content/uploads/2015/12/koufra-e1453473473420-150x150.jpg";"http://www.compostri.fr/compost/koufra/"
"Ecole Pont Marchand";"Composteur Pédagogique en établissement scolaire";"Silos 2x2.5m3";"En service";"Orvault";"";"2015";"47.263677";"-1.631934";"http://www.compostri.fr/wp-content/uploads/2015/12/20151021_113409-e1454323109696-150x150.jpg";"http://www.compostri.fr/compost/ecole-pont-marchand/"
"La Source";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"La Chapelle-sur-Erdre";"01-01-2015";"2015";"47.306035";"-1.554568";"http://www.compostri.fr/wp-content/uploads/2015/11/compostage-tous-les-etages-dans-les-quartiers-de-la-ville-150x150.jpg";"http://www.compostri.fr/compost/la-source-la-chapelle-sur-erdre/"
"Kanopé";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Malakoff - Saint-Donatien";"19-06-2016";"2015";"47.2151";"-1.5351";"http://www.compostri.fr/wp-content/uploads/2015/09/1er-retournement-site-Kanop-®-2-150x150.jpg";"http://www.compostri.fr/compost/kanope/"
"Centre Socio-culturel &#8211; Port-au-Blé";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Rezé";"01-09-2013";"2013";"47.191435";"-1.5584036000000197";"http://www.compostri.fr/wp-content/uploads/2015/01/CSC-Port-au-blé-Montage-31-150x150.jpg";"http://www.compostri.fr/compost/centre-socio-culturel-maison-du-port-au-ble/"
"Résidence Clos de L&rsquo;Erdre";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Nantes Erdre";"21-07-2016";"2014";"47.2620375";"-1.5278637000000117";"http://www.compostri.fr/wp-content/uploads/2015/01/1er-ertournement-1-150x150.jpg";"http://www.compostri.fr/compost/residence-clos-de-lerdre-nantes/"
"Centre Socio-Culturel Soleil Levant";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Saint-Herblain";"30-09-2013";"2013";"47.219692";"-1.609410";"http://www.compostri.fr/wp-content/uploads/2015/01/CSC-Soleil-levant-6-150x150.jpg";"http://www.compostri.fr/compost/centre-socio-culturel-soleil-levant/"
"Naturalie-Chénaie";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Doulon - Bottière";"25-03-2013";"2013";"47.239343";"-1.515182";"http://www.compostri.fr/wp-content/uploads/2015/01/Bottière-Chesnaie-Ilot6-91-150x150.jpg";"http://www.compostri.fr/compost/naturalie-chenaie/"
"Duguesclin";"Composteur en résidence - copropriété";"Pavillon 2,5 m3";"En service";"Saint-Sébastien-sur-Loire";"07-12-2016";"2010";"47.195455";"-1.523846";"http://www.compostri.fr/wp-content/uploads/2015/01/Duguesclin-150x150.jpg";"http://www.compostri.fr/compost/duguesclin/"
"Monfoulon";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En projet";"Nantes centre";"27-05-2015";"2015";"47.2247686";"-1.548586699999987";"http://www.compostri.fr/wp-content/uploads/2015/06/installation-et-mise-en-route-1-150x150.jpg";"http://www.compostri.fr/compost/monfoulon-nantes/"
"Utrillo";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Rezé";"09-01-2015";"2015";"47.1808775";"-1.5616284999999834";"http://www.compostri.fr/wp-content/uploads/2015/06/photo-groupe-150x150.jpeg";"http://www.compostri.fr/compost/utrillo-reze/"
"Square Vertais";"Composteur ouvert au quartier";"Pavillon 5 m3";"En service";"Île de Nantes";"02-09-2015";"2015";"47.202325";"-1.5470382";"http://www.compostri.fr/wp-content/uploads/2015/04/installation-2-150x150.jpg";"http://www.compostri.fr/compost/square-vertais-ile-de-nantes/"
"Environnements solidaires";"Composteur en résidence - copropriété";"Silos 2x2.5m3";"En service";"Saint-Herblain";"01-10-2014";"2015";"47.208005";"-1.614903";"http://www.compostri.fr/wp-content/uploads/2015/05/20150407_162653-150x150.jpg";"http://www.compostri.fr/compost/environnements-solidaires/"
"Beausoleil";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"La Chapelle-sur-Erdre";"";"2015";"47.3044761";"-1.5588801000000103";"http://www.compostri.fr/wp-content/uploads/2015/05/IMG_6287-150x150.jpg";"http://www.compostri.fr/compost/beausoleil-la-chapelle-sur-erdre/"
"Cantine du 8 mai";"Composteur ouvert au quartier";"Pavillon 5 m3";"En service";"Bouguenais";"02-01-2015";"2015";"47.1785721";"-1.620072299999947";"http://www.compostri.fr/wp-content/uploads/2015/05/bouguenais-cantine-150x150.jpg";"http://www.compostri.fr/compost/1469/"
"Jardins de Bitche &#8211; Nantes";"Composteur ouvert au quartier";"Silos 2x1m3";"En projet";"Nantes centre";"01-11-2014";"2014";"47.2125732";"-1.5412590999999338";"http://www.compostri.fr/wp-content/uploads/2015/04/jardins-bitche-150x150.jpg";"http://www.compostri.fr/compost/jardins-de-bitche/"
"La Nizanerie";"Composteur ouvert au quartier";"Pavillon 1,5 m3";"En service";"Île de Nantes";"23-03-2013";"2013";"47.2052437";"-1.5516660000000684";"http://www.compostri.fr/wp-content/uploads/2015/04/composteur-peint-150x150.jpg";"http://www.compostri.fr/compost/la-nizanerie-nantes/"
"Les jardins de Gaïa &#8211; Bouaye";"Composteur ouvert au quartier, Composteur sur des jardins collectifs";"Silos 2x1m3";"En service";"Bouaye";"16-12-2014";"2014";"47.157406";"-1.675624";"http://www.compostri.fr/wp-content/uploads/2015/04/composteur-jardins-gaia-150x150.jpg";"http://www.compostri.fr/compost/les-jardins-de-gaia-bouaye/"
"Haubans";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Île de Nantes";"30-09-2016";"2015";"47.209349";"-1.5289678000000322";"http://www.compostri.fr/wp-content/uploads/2015/04/installation-et-mise-en-route-7-150x150.jpg";"http://www.compostri.fr/compost/haubans/"
"Compostîle";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En projet";"Île de Nantes";"31-12-2017";"2015";"47.206986";"-1.558905";"http://www.compostri.fr/wp-content/uploads/2015/03/installation-4-150x150.jpg";"http://www.compostri.fr/compost/place-des-erables/"
"Marion Cahour";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"Hauts-Pavés - Saint-Félix";"30-09-2016";"2015";"47.222301";"-1.561171";"http://www.compostri.fr/wp-content/uploads/2015/03/1er-retournement-2-150x150.jpg";"http://www.compostri.fr/compost/marion-cahour/"
"Salonique";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Breil - Barberie";"30-09-2014";"2014";"47.2407654";"-1.5811751";"http://www.compostri.fr/wp-content/uploads/2015/03/1er-retournement-1-150x150.jpg";"http://www.compostri.fr/compost/salonique/"
"Passage de la prise d&rsquo;eau";"Composteur ouvert au quartier";"Pavillon 2,5 m3";"En service";"Nort sur Erdre";"13-12-2014";"2015";"47.442653";"-1.500773";"http://www.compostri.fr/wp-content/uploads/2015/01/20151007_190823-150x150.jpg";"http://www.compostri.fr/compost/passage-de-la-prise-deau/"
"Résidence Ralliement";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Malakoff - Saint-Donatien";"";"2014";"47.2226423";"-1.5294613999999456";"http://www.compostri.fr/wp-content/uploads/2015/01/Ralliement-150x150.jpg";"http://www.compostri.fr/compost/residence-ralliement-nantes/"
"Le Bourg";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Saint-Herblain";"01-01-2014";"2014";"47.2088163";"-1.6487124999999878";"http://www.compostri.fr/wp-content/uploads/2015/01/1er-retourenment-le-bourg-saint-herblain-3-150x150.jpg";"http://www.compostri.fr/compost/le-bourg/"
"Belle Isle &#8211; Nantes";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Nantes Erdre";"";"2014";"47.2545665";"-1.5367369000000508";"http://www.compostri.fr/wp-content/uploads/2015/01/20141122_144938-150x150.jpg";"http://www.compostri.fr/compost/belle-isle/"
"Le Clos de la Rivaudière";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Saint-Herblain";"30-09-2014";"2014";"47.225689";"-1.6504671000000144";"http://www.compostri.fr/wp-content/uploads/2015/01/Clos_Rivaudière-150x150.jpg";"http://www.compostri.fr/compost/le-clos-de-la-rivaudiere/"
"Maison Relais le Gué";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Dervallières - Zola";"";"2014";"47.2068509";"-1.5747179999999616";"http://www.compostri.fr/wp-content/uploads/2015/01/Maison-relais-le-Gué-4-150x150.jpg";"http://www.compostri.fr/compost/maison-relais-le-gue-nantes/"
"La Fontaine";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Nantes Nord";"28-04-2016";"2014";"47.247411";"-1.5707";"http://www.compostri.fr/wp-content/uploads/2015/01/Retournement-51-150x150.jpg";"http://www.compostri.fr/compost/la-fontaine/"
